Time,Intensity
456.365,0.736657584
457.365,0.729419878
458.365,0.726599878
459.365,0.72687975
460.365,0.72450509
461.365,0.722581797
462.365,0.719925528
463.365,0.716295209
464.365,0.714706057
465.365,0.714282612
466.365,0.709087604
467.365,0.703022228
468.365,0.690364645
469.365,0.693748844
470.365,0.684846913
471.365,0.685766156
472.365,0.685028884
473.365,0.678715316
474.365,0.67199283
475.365,0.669396116
476.365,0.666101964
477.365,0.661472735
478.365,0.659107564
479.365,0.652391751
480.365,0.651006165
481.365,0.6438676
482.365,0.64425709
483.365,0.638160187
484.365,0.642311952
485.365,0.632573707
486.365,0.631776239
487.365,0.632414127
488.365,0.626470229
489.365,0.626777387
490.365,0.62651565
491.365,0.624073132
492.365,0.620952548
493.365,0.620941873
494.365,0.619884052
495.365,0.608335539
496.365,0.614617085
497.365,0.615622717
498.365,0.61623347
499.365,0.61459766
500.365,0.614469757
501.365,0.616650736
502.365,0.615523823
503.365,0.611605921
504.365,0.609912486
505.365,0.609396773
506.365,0.612241484
507.365,0.609916194
508.365,0.60905774
509.365,0.609722461
510.365,0.598629964
511.365,0.607491318
512.365,0.608944315
513.365,0.608630242
514.365,0.606612652
515.365,0.60954484
516.365,0.607755032
517.365,0.605612998
518.365,0.607619024
519.365,0.608051957
520.365,0.608155695
521.365,0.606681791
522.365,0.603519594
523.365,0.608984446
524.365,0.604107368
525.365,0.608366924
526.365,0.606591942
527.365,0.608419014
528.365,0.608924448
529.365,0.606542125
530.365,0.608965962
531.365,0.608873298
532.365,0.6079201
533.365,0.609542072
534.365,0.60653338
535.365,0.609765359
536.365,0.605783997
537.365,0.60845682
538.365,0.608971054
539.365,0.607876313
540.365,0.607660985
541.365,0.611358564
542.365,0.606751428
543.365,0.609854813
544.365,0.606163753
545.365,0.608323579
546.365,0.611569891
547.365,0.608406113
548.365,0.620941873
549.365,0.619884052
550.365,0.608335539
551.365,0.610617085
552.365,0.610622717
553.365,0.61023347
554.365,0.61059766
555.365,0.610469757
556.365,0.610650736
557.365,0.615523823
558.365,0.611605921
559.365,0.609912486
560.365,0.609396773
561.365,0.612241484
562.365,0.609916194
563.365,0.60905774
564.365,0.609722461
565.365,0.598629964
566.365,0.607491318
567.365,0.608944315
568.365,0.608630242
569.365,0.606612652
570.365,0.60954484
571.365,0.607755032
572.365,0.605612998
573.365,0.607619024
574.365,0.608051957
575.365,0.608155695
576.365,0.606681791
577.365,0.603519594
578.365,0.608984446
579.365,0.604107368
580.365,0.608366924
581.365,0.606591942
582.365,0.608419014
583.365,0.608924448
584.365,0.606542125
585.365,0.608965962
586.365,0.608873298
587.365,0.6079201
588.365,0.609542072
589.365,0.60653338
590.365,0.609765359
591.365,0.605783997
592.365,0.60845682
593.365,0.608971054
594.365,0.607876313
595.365,0.607660985
596.365,0.611358564
597.365,0.606751428
598.365,0.609854813
599.365,0.606163753
600.365,0.608323579
601.365,0.611569891
602.365,0.608406113
603.365,0.620941873
604.365,0.619884052
605.365,0.608335539
606.365,0.614617085
607.365,0.611622717
608.365,0.61223347
609.365,0.61159766
610.365,0.614469757
611.365,0.611650736
612.365,0.615523823
613.365,0.611605921
614.365,0.612912486
615.365,0.612396773
616.365,0.612241484
617.365,0.609916194
618.365,0.60905774
619.365,0.609722461
620.365,0.618629964
621.365,0.607491318
622.365,0.608944315
623.365,0.608630242
624.365,0.606612652
625.365,0.60954484
626.365,0.607755032
627.365,0.605612998
628.365,0.607619024
629.365,0.608051957
630.365,0.608155695
631.365,0.606681791
632.365,0.603519594
633.365,0.608984446
634.365,0.604107368
635.365,0.608366924
636.365,0.606591942
637.365,0.608419014
638.365,0.608924448
